"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","67","22","100.0"
"10%","134","22","100.0"
"15%","201","22","100.0"
"20%","268","22","100.0"
"25%","335","22","100.0"
"30%","402","22","100.0"
"35%","469","22","100.0"
"40%","536","22","100.0"
"45%","603","21","96.1"
"50%","670","20","94.1"
"55%","737","19","90.2"
"60%","804","19","90.2"
"65%","871","15","70.6"
"70%","938","15","70.6"
"75%","1005","15","70.6"
"80%","1072","13","62.7"
"85%","1139","13","62.7"
"90%","1206","13","62.7"
"95%","1273","13","62.7"
"100%","1341","12","56.9"
