Data Collection,Configuration 0,,Configuration 1,,Configuration 2,,Configuration 3,,Configuration 4,,Configuration 5,,Configuration 6,
Participant Nickname,Completion Time,Mistakes,Completion Time,Mistakes,Completion Time,Mistakes,Completion Time,Mistakes,Completion Time,Mistakes,Completion Time,Mistakes,Completion Time,Mistakes
Gelson (bedge_ZZzz),37.066,0,24.079,0,24.632,0,68.563,0,41.471,0,26.279,0,28.638,0
Gabe,48.733,0,52.979,0,34.854,0,47.804,0,28.443,0,34.168,0,35.38,0
Sean,63.606,0,45.755,0,62.601,0,59.009,0,99.286,0,31.898,0,35.038,0
Daniel,90.69,0,31.629,0,28.347,0,48.019,0,37.833,0,33.585,0,32.77,0
Jaime,78.672,0,44.11,0,38.466,0,42.984,0,48.506,0,38.521,0,79.83,0
kat,27.481,0,80.138,0,46.192,0,54.611,0,82.387,0,48.437,0,56.921,0
RJ,52.508,0,36.229,1,19.658,0,21.319,0,50.157,0,31.45,0,36.598,0
Roniii,56.593,0,45.132,0,82.788,0,42.231,0,36.613,0,41.498,0,49.758,0
Dani,24.686,0,31.647,0,28.899,0,29.523,0,29.832,0,26.941,0,22.971,0
SILC,26.65,0,38.92,0,19.72,0,83.902,0,32.681,0,22.376,0,24.195,0
Michael,32.864,0,27.244,0,37.645,0,48.248,0,48.363,0,27.815,0,32.775,0
Bentley Lu,27.843,0,27.339,0,32.931,0,24.321,0,25.314,0,20.6,0,28.043,0
ph,48.563,0,23.76,0,21.676,0,17.891,0,25.961,0,21.948,0,23.726,0
Ajet,22.318,0,19.1,0,32.905,0,45.244,0,30.049,0,24.315,0,24.743,0
Uwie,23.168,0,30.732,0,24.238,0,29.763,0,49.698,0,25.41,1,51.073,0
bryce,79.863,0,31.232,0,32.905,0,51.899,0,39.896,0,28.71,0,39.889,0
Ibz,33.751,0,39.657,0,37.925,0,42.966,0,34.948,0,33.025,0,29.465,0
Shaun,51.496,0,31.435,0,37.645,0,29.762,0,29.136,0,31.129,0,39.334,0
Andy,29.917,0,30.96,0,47.083,0,26.496,0,25.669,0,34.944,0,41.753,0
Patrick,59.858,1,32.392,0,31.812,0,31.022,0,35.614,1,41.739,0,31.007,0
Greg,28.523,0,21.49,0,41.955,0,65.552,0,18.826,0,58.909,0,21.954,0
Sherwynn,51.974,0,49.814,0,59.609,0,76.604,0,102.524,0,60.195,0,74.807,0
Leo,38.597,0,41.024,0,35.962,0,36.054,0,41.22,0,42.572,0,32.415,0
Renz,55.33,0,46.397,0,49.185,0,48.025,0,42.482,0,36.493,0,44.623,0
Ced,37.022,0,24.728,0,18.984,0,28.463,0,26.181,0,21.052,0,25.766,0
Wai Kei (yk),29.528,1,25.96,0,31.92,0,43.639,0,25.086,0,25.272,0,24.102,0
Kovie,35.265,0,30.953,0,35.475,0,32.959,0,41.085,0,31.89,0,30.985,0
Aless,24.194,0,25.65,0,21.856,0,36.404,0,29.734,0,23.248,0,31.252,0
Kyle,55.229,0,21.826,0,27.207,0,27.735,0,29.501,0,24.628,0,22.937,1
Darren,48.858,0,30.605,0,34.963,0,41.588,0,25.77,0,35.696,0,32.454,0
Bryan,30.268,0,19.764,0,19.569,0,20.28,0,37.221,0,42.244,0,52.999,0
philip,29.423,0,27.223,0,31.136,0,27.823,0,31.409,0,32.343,0,35.503,0
Josh Dane,34.131,0,24.267,0,45.098,0,62.052,0,22.913,0,24.111,0,30.315,0
